rna	k9ac	k36ac
A2M	3.41509	2.78801	0.117255
A4GALT	-0.0157763	1.12336	-0.507056
AAAS	-2.9621	3.48983	-2.17094
AACS	1.38514	-0.616456	-4.53599
AADAT	0.191101	0.762719	-0.287567
AAED1	0.171148	2.57185	0.471153
AAGAB	0.189551	3.08035	0.0837084
AAK1	0.646928	0.642482	-0.160889
AAMDC	-1.107	0.318563	-0.443601
AAMP	-0.392001	0.0399923	-1.41971
AAR2	-0.844492	2.89948	-1.44805
AARS	0.636313	-0.347038	-0.861448
AARS2	-0.394414	0.20079	-1.0499
AARSD1	-0.0335806	5.90345	-1.18657
AASDH	0.437545	0.518647	0.0491095
AASDHPPT	0.676476	3.18314	1.73454
AASS	-0.576963	3.76494	0.459377
AATF	-0.17254	1.45083	-0.287335
AB019441.29	0.311784	0.0135768	0.386838
ABAT	-1.09479	-0.6673	-0.997256
ABBA01017803.1	-0.32019	-0.0686497	0.381304
ABCA1	1.49737	0.501752	0.0332506
ABCA10	-1.03264	1.59387	0.0644694
ABCA11P	-0.474657	-0.971092	-0.0153055
ABCA17P	-1.27107	-0.307386	-0.189844
ABCA2	-0.930814	-3.62855	-6.44439
ABCA3	0.0549647	-1.47452	-4.87159
ABCA5	1.48715	4.92431	0.179816
ABCA6	-0.980364	1.91099	0.5023
ABCA7	-1.65519	-0.69343	-2.25281
ABCA8	0.0596042	-0.0144566	0.138084
ABCA9	-1.09817	0.295905	1.1935
ABCB10	1.07822	2.03041	-1.35195
ABCB4	-0.302838	5.31087	0.494368
ABCB6	0.10225	1.61593	-0.337465
ABCB7	0.269541	3.43991	-0.424977
ABCB8	-0.593957	0.216634	-1.43592
ABCB9	-0.341215	-0.044279	-6.357
ABCC1	-0.325008	6.18889	-3.78436
ABCC10	0.123575	0.629366	-1.41332
ABCC12	0.266031	-0.808311	-1.11242
ABCC2	-0.579984	0.260989	-1.80319
ABCC4	0.494406	1.50463	0.818674
